player,team,league,pos,nation,age,playing time_min,performance_save%,performance_cs%,penalty kicks_save%,performance_ga_per90,performance_sota_per90,performance_saves_per90,performance_cs_per90,penalty kicks_pksv_per90
Mathieu Gorgelin,Lens,FRA-Ligue 1,GK,FRA,34,1620,73.39999999999999,35.43333333333333,0.0,1.9444444444444444,5.111111111111112,3.166666666666667,0.1111111111111111,0.0
Matt Turner,Nottingham,ENG-Premier League,GK,USA,29,1530,66.3,11.8,0.0,1.647058823529412,4.882352941176471,3.2352941176470584,0.11764705882352941,0.0
Mattia Perin,Juventus,ITA-Serie A,GK,ITA,33-304,2389,60.5,44.0,10.0,0.7534533277521975,3.08915864378401,2.335705316031812,0.5650899958141482,0.03767266638760988
Matvei Safonov,Paris SG,FRA-Ligue 1,GK,RUS,27-197,2499,54.833333333333336,28.866666666666664,33.333333333333336,1.0444177671068426,3.1692677070828332,2.1248499399759906,0.39615846338535415,0.03601440576230493
Matz Sels,Strasbourg,FRA-Ligue 1,GK,BEL,31,12928,64.39999999999999,21.45,3.3333333333333335,1.3784034653465347,4.211788366336633,2.8473081683168315,0.21581064356435642,0.006961633663366337
Matías Dituro,Elche,ESP-La Liga,GK,ARG,39-125,2340,57.15,9.1,0.0,1.5769230769230769,4.423076923076923,2.846153846153846,0.15384615384615385,0.0
Maxime Dupé,Nice,FRA-Ligue 1,GK,FRA,32,4140,62.099999999999994,18.1,21.45,1.565217391304348,4.521739130434782,3.086956521739131,0.21739130434782608,0.06521739130434782
Michael Zetterer,Frankfurt,Unknown,GK,GER,30,7618,69.82499999999999,19.125,0.0,1.5358361774744027,4.6902074035179835,3.1779994749278027,0.2480966132843266,0.0
Michele Cerofolini,Frosinone,ITA-Serie A,GK,ITA,24,1125,67.4,20.0,0.0,1.1199999999999999,3.2,2.08,0.16,0.0
Michele Di Gregorio,Juventus,ITA-Serie A,GK,ITA,28,11827,71.75,38.525,10.0,1.0729686310983344,3.873340661198952,2.853639976325357,0.3804853301767143,0.015219413207068573
Mike Maignan,Milan,ITA-Serie A,GK,FRA,31-069,11446,71.4,36.1,22.380000000000003,1.0457801852175432,3.6798881705399267,2.6498340031452035,0.3695614188362747,0.0314520356456404
Mike Penders,Strasbourg,FRA-Ligue 1,GK,BEL,20,2970,69.5,24.2,20.0,1.4242424242424243,4.666666666666667,3.242424242424242,0.24242424242424243,0.030303030303030304
Mile Svilar,Roma,ITA-Serie A,GK,SRB,27-014,8730,77.47999999999999,44.56,10.0,0.9175257731958764,3.979381443298969,3.072164948453608,0.4329896907216495,0.010309278350515464
Mio Backhaus,Freiburg,Unknown,GK,GER,22-147,3060,73.69999999999999,32.8,0.0,1.6764705882352942,4.764705882352941,3.088235294117647,0.1764705882352941,0.0
Moritz Nicolas,Gladbach,Unknown,GK,GER,28-324,7309,70.25,18.525000000000002,0.0,1.6500205226433162,5.688876727322479,4.075796962648789,0.2585853057873854,0.0
Mory Diaw,Le Havre,FRA-Ligue 1,GK,SEN,32,8685,68.33333333333333,22.333333333333332,24.2,1.471502590673575,4.704663212435233,3.3471502590673574,0.22797927461139897,0.07253886010362694
Nediljko Labrović,Augsburg,Unknown,GK,CRO,24,1350,56.8,13.3,0.0,2.1333333333333333,4.933333333333334,2.8,0.13333333333333333,0.0
Neto,Bournemouth,ENG-Premier League,GK,BRA,35,5445,74.53333333333333,14.699999999999998,5.566666666666666,1.586776859504132,5.272727272727273,3.6859504132231407,0.21487603305785125,0.01652892561983471
Nick Pope,Newcastle,ENG-Premier League,GK,ENG,33,9542,71.725,33.075,25.0,1.1412701739677218,4.008593586250262,2.86732341228254,0.3301194718088451,0.028295954726472436
Nicola Leali,Genoa,ITA-Serie A,GK,ITA,32,4633,72.5,34.5,8.333333333333334,1.1849773364990286,4.02115260090654,2.875026980358299,0.2913878696309087,0.019425857975393913
Nikola Vasilj,St Pauli,Unknown,GK,BIH,29,6029,68.85,21.0,60.0,1.477857024382153,4.70227235030685,3.2244153259246975,0.20898988223586001,0.08956709238679715
Noah Atubolu,Frankfurt,Unknown,GK,GER,24-108,8607,64.75,20.65,60.0,1.6626002091321017,4.7368421052631575,3.084698501219937,0.2614151272220286,0.05228302544440572
Obed Nkambadio,Paris FC,FRA-Ligue 1,GK,FRA,22,1080,55.3,8.3,33.3,1.75,3.9166666666666665,2.1666666666666665,0.08333333333333334,0.08333333333333334
Odysseas Vlachodimos,Sevilla,ESP-La Liga,GK,GRE,32-137,3780,58.36666666666667,11.733333333333334,3.6999999999999997,1.6666666666666665,4.285714285714286,2.619047619047619,0.14285714285714285,0.02380952380952381
Oliver Baumann,Hoffenheim,Unknown,GK,GER,36-100,11880,61.1,10.5,24.0,1.7727272727272725,5.075757575757576,3.333333333333333,0.12878787878787878,0.045454545454545456
Oliver Christensen,Hertha BSC,Unknown,GK,DEN,23,3416,65.16666666666667,3.033333333333333,5.566666666666666,2.0550351288056206,4.874121779859484,2.9508196721311477,0.07903981264637003,0.026346604215456676
Patrick Drewes,Bochum,Unknown,GK,GER,31,1890,53.5,14.3,40.0,2.1904761904761907,4.714285714285714,2.5238095238095237,0.14285714285714285,0.09523809523809525
Pau López,Marseille,FRA-Ligue 1,GK,ESP,28,6719,61.9,18.675,25.0,1.1519571364786425,3.9380860247060574,2.812918589075755,0.254502158059235,0.013394850424170263
Paul Bernardoni,Angers,FRA-Ligue 1,GK,FRA,25,2430,57.8,11.1,0.0,2.2962962962962963,5.444444444444445,3.1481481481481484,0.1111111111111111,0.0
Paulo Gazzaniga,Girona,ESP-La Liga,GK,ARG,33,12237,69.25,19.325,24.175,1.3312086295660701,4.34665359156656,3.074282912478549,0.19857808286344694,0.036773719048786464
Pepe Reina,Como,ITA-Serie A,GK,ESP,41,3194,71.26666666666667,13.133333333333333,0.0,1.2116468378209142,3.9167188478396993,2.7050720100187853,0.19724483406386975,0.0
Philipp Köhn,Monaco,FRA-Ligue 1,GK,SUI,27,5311,67.2,31.400000000000002,5.566666666666666,1.3217849745810581,4.016192807380907,2.6944078327998495,0.30502730182639803,0.01694596121257767
Pierluigi Gollini,Genoa,ITA-Serie A,GK,ITA,29,1890,67.45,36.325,6.25,1.380952380952381,3.8095238095238093,2.428571428571429,0.2857142857142857,0.04761904761904762
