player,team,league,age,nation,pos,playing time_min,standard_sot%,standard_g/sh,team success_ppm,performance_gls_per90,performance_ast_per90,performance_g-pk_per90,performance_pk_per90,performance_crdy_per90,performance_crdr_per90,performance_fls_per90,performance_fld_per90,performance_off_per90,performance_crs_per90,performance_int_per90,performance_tklw_per90,standard_sh_per90,standard_sot_per90
Konan N'dri,Lecce,ITA-Serie A,25-318,NIG,FW,993.0,16.166666666666668,0.03666666666666667,0.7200000000000001,0.18126888217522658,0.0,0.18126888217522658,0.0,0.2719033232628399,0.0,1.540785498489426,2.356495468277946,0.18126888217522658,3.8066465256797586,0.2719033232628399,0.9063444108761329,2.809667673716012,0.6344410876132931
Koni De Winter,Milan,ITA-Serie A,24-090,BEL,DF,7609.0,17.259999999999998,0.074,1.56,0.04731239321855697,0.023656196609278486,0.04731239321855697,0.0,0.22473386778814564,0.011828098304639243,1.4785122880799055,0.40215534235773426,0.023656196609278486,0.15376527796031014,0.8634511762386646,0.9344197660665002,0.40215534235773426,0.11828098304639244
Konrad Laimer,Bayern Munich,Unknown,29-106,AUT,DF,7113.0,41.96,0.088,2.266,0.10122311261071278,0.17714044706874735,0.10122311261071278,0.0,0.3542808941374947,0.0,1.6069169126950653,0.7591733445803458,0.11387600168705188,1.3032475748629269,0.7212146773513286,1.4803880219316743,0.9363137916490932,0.3795866722901729
Konstantinos Koulierakis,Wolfsburg,Unknown,21,GRE,DF,4973.0,19.933333333333334,0.049999999999999996,1.7766666666666666,0.0723909109189624,0.0542931831892218,0.0723909109189624,0.0,0.16287954956766537,0.0,0.9591795696762518,0.47054092097325556,0.0361954554594812,0.6153227428111804,1.21254775789262,0.8686909310275488,0.8686909310275488,0.271465915946109
Konstantinos Mavropanos,Stuttgart,Unknown,24,GRE,DF,8365.0,28.674999999999997,0.0625,1.125,0.06455469216975493,0.010759115361625823,0.06455469216975493,0.0,0.2044231918708906,0.021518230723251645,0.7746563060370592,0.6240286909742977,0.06455469216975493,0.1506276150627615,1.861326957561267,0.9575612671846983,1.086670651524208,0.31201434548714885
Koray Günter,Sampdoria,ITA-Serie A,27,GER,DF,1779.0,5.55,0.055,0.45499999999999996,0.050590219224283306,0.0,0.050590219224283306,0.0,0.25295109612141653,0.0,1.2141652613827993,0.657672849915683,0.0,0.20236087689713322,2.0236087689713322,0.7082630691399663,0.5059021922428331,0.050590219224283306
Kostas Stafylidis,Bochum,Unknown,28,GRE,"DF,MF",1043.0,14.3,0.0,1.21,0.0,0.1725790987535954,0.0,0.0,0.3451581975071908,0.0,1.3806327900287632,1.3806327900287632,0.0,2.2435282837967403,1.725790987535954,1.3806327900287632,1.2080536912751678,0.1725790987535954
Kostas Tsimikas,Roma,ITA-Serie A,29,GRE,MF,2951.0,35.72,0.0,1.716,0.0,0.24398508980006778,0.0,0.0,0.18298881735005082,0.0,1.3114198576753642,0.9149440867502541,0.09149440867502541,8.143002372077262,1.0064384954252796,1.3724161301253812,0.6709589969501863,0.15249068112504235
Kristian Thorstvedt,Sassuolo,ITA-Serie A,27-181,NOR,MF,6082.0,38.975,0.0825,1.1525,0.1775731667214732,0.0887865833607366,0.1775731667214732,0.0,0.3107530417625781,0.0,1.317000986517593,1.775731667214732,0.029595527786912202,0.7546859585662612,0.9766524169681026,0.7250904307793489,1.6129562643867148,0.5623150279513318
Kristijan Jakić,Augsburg,Unknown,28,CRO,"MF,DF",6670.0,31.02,0.078,1.4060000000000001,0.06746626686656672,0.04047976011994003,0.06746626686656672,0.0,0.21589205397301348,0.0,1.0794602698650675,0.9715142428785607,0.08095952023988005,0.47226386806596704,1.106446776611694,1.1604197901049476,0.782608695652174,0.2833583208395802
Kristjan Asllani,Torino,ITA-Serie A,23,ALB,MF,3496.0,19.5,0.05,2.0725,0.07723112128146453,0.10297482837528604,0.02574370709382151,0.05148741418764302,0.2574370709382151,0.0,0.6435926773455378,1.5188787185354693,0.0,3.810068649885584,0.9267734553775744,0.6435926773455378,1.5961098398169336,0.33466819221967964
Kristoffer Ajer,Brentford,ENG-Premier League,28-146,NOR,DF,6113.0,39.32,0.034,1.324,0.029445444135449046,0.029445444135449046,0.029445444135449046,0.0,0.22084083101586785,0.0,1.015867822672992,0.47112710616718473,0.04416816620317356,0.7214133813185015,0.8244724357925731,1.0894814330116147,0.48584982823490924,0.16194994274496974
Kristoffer Lund,Köln,Unknown,23,USA,"DF,MF",2276.0,15.0,0.0,0.97,0.0,0.07908611599297012,0.0,0.0,0.07908611599297012,0.0,0.5140597539543058,1.5817223198594026,0.11862917398945519,3.2820738137082603,1.1072056239015817,1.0281195079086116,0.7908611599297013,0.11862917398945519
Krzysztof Piątek,Salernitana,ITA-Serie A,27,POL,FW,2140.0,34.5,0.07,1.09,0.16822429906542058,0.2102803738317757,0.1261682242990654,0.042056074766355145,0.2102803738317757,0.0,1.6401869158878504,1.8084112149532712,0.9672897196261683,0.588785046728972,0.042056074766355145,0.5046728971962616,2.439252336448598,0.8411214953271028
